Task name,Status,Priority,Account Status,Hotel name,Country,City / Region,Hotel Type,Rooms Range,Contact website,Source,Priority score,Priority Level,ICP Fit,OTA Dependency Signal,Direct Booking Weakness,Main Pain Hypothesis,Commercial Verdict,Subject line,Source file
Lead outreach - Jonah’s Restaurant & Boutique Hotel,to do,2,Researching,Jonah’s Restaurant & Boutique Hotel,AU,Palm Beach,Preferred hotel,,http://www.jonahs.com.au/,Raw lead sheet: Sydney 100.csv,8.14,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Jonah’s Restaurant & Boutique Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Miramare Gardens,to do,2,Researching,Miramare Gardens,AU,Terrey Hills,Preferred hotel,,https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Raw lead sheet: Sydney 100.csv,8.14,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Miramare Gardens: krátky postreh,Sydney 100.csv
Lead outreach - The Hornsby Inn,to do,2,Researching,The Hornsby Inn,AU,Hornsby,Preferred hotel,,https://hornsbyinn.com.au/,Raw lead sheet: Sydney 100.csv,8.13,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Hornsby Inn: krátky postreh,Sydney 100.csv
Lead outreach - Billabong Retreat,to do,2,Researching,Billabong Retreat,AU,Maraylya,Preferred hotel,,http://www.billabongretreat.com.au/,Raw lead sheet: Sydney 100.csv,8.1,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Billabong Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Spicers Sangoma Retreat,to do,2,Researching,Spicers Sangoma Retreat,AU,Bowen Mountain,Preferred hotel,,https://spicersretreats.com/retreats/spicers-sangoma-retreat/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Raw lead sheet: Sydney 100.csv,8.1,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Spicers Sangoma Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Seranin | Gordon,to do,2,Researching,Seranin | Gordon,AU,Gordon,Preferred hotel,,http://www.seranin.com.au/,Raw lead sheet: Sydney 100.csv,8.03,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Seranin | Gordon: krátky postreh,Sydney 100.csv
Lead outreach - Quest Bella Vista,to do,2,Researching,Quest Bella Vista,AU,Bella Vista,Preferred hotel,,http://www.questapartments.com.au/properties/nsw/bella-vista/quest-bella-vista/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=bellavista,Raw lead sheet: Sydney 100.csv,7.98,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Quest Bella Vista: krátky postreh,Sydney 100.csv
Lead outreach - Royal Hotel,to do,2,Researching,Royal Hotel,AU,Springwood,Preferred hotel,,http://www.royalhotelspringwood.com.au/,Raw lead sheet: Sydney 100.csv,7.97,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Royal Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Quest Penrith,to do,2,Researching,Quest Penrith,AU,Penrith,Preferred hotel,,https://www.questapartments.com.au/properties/nsw/penrith/quest-penrith,Raw lead sheet: Sydney 100.csv,7.96,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Quest Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Doonside Hotel,to do,2,Researching,Doonside Hotel,AU,Doonside,Preferred hotel,,https://www.doonsidehotel.com/,Raw lead sheet: Sydney 100.csv,7.94,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Doonside Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Lucky Australian Hotel,to do,2,Researching,Lucky Australian Hotel,AU,North St Marys,Preferred hotel,,http://theluckyaustralian.com/,Raw lead sheet: Sydney 100.csv,7.82,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Lucky Australian Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Overlander Hotel,to do,2,Researching,Overlander Hotel,AU,Cambridge Gardens,Preferred hotel,,http://www.overlanderhotel.com.au/,Raw lead sheet: Sydney 100.csv,7.81,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Overlander Hotel: krátky postreh,Sydney 100.csv
Lead outreach - The Tropicana Hotel,to do,2,Researching,The Tropicana Hotel,AU,Wilberforce,Preferred hotel,,https://thetrop.com.au/,Raw lead sheet: Sydney 100.csv,7.8,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Tropicana Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Silkari Mirage at Newport,to do,2,Researching,Silkari Mirage at Newport,AU,Newport,Preferred hotel,,https://silkarihotels.com.au/silkari-mirage-at-newport/,Raw lead sheet: Sydney 100.csv,7.77,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Silkari Mirage at Newport: krátky postreh,Sydney 100.csv
Lead outreach - St Marys Hotel,to do,2,Researching,St Marys Hotel,AU,St Marys,Preferred hotel,,http://stmarys-hotel.com.au/,Raw lead sheet: Sydney 100.csv,7.76,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,St Marys Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Hornsby Railway Hotel,to do,2,Researching,Hornsby Railway Hotel,AU,Hornsby,Preferred hotel,,http://www.hornsbyrailwayhotel.com.au/,Raw lead sheet: Sydney 100.csv,7.75,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Hornsby Railway Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Wisemans Retreat,to do,2,Researching,Wisemans Retreat,AU,Wisemans Ferry,Preferred hotel,,https://www.wisemans.com.au/,Raw lead sheet: Sydney 100.csv,7.65,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Wisemans Retreat: krátky postreh,Sydney 100.csv
Lead outreach - Blacktown Tavern,to do,2,Researching,Blacktown Tavern,AU,Blacktown,Preferred hotel,,https://www.blacktowntavern.com.au/,Raw lead sheet: Sydney 100.csv,7.65,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Blacktown Tavern: krátky postreh,Sydney 100.csv
Lead outreach - Time and Tide Hotel,to do,2,Researching,Time and Tide Hotel,AU,Dee Why,Preferred hotel,,https://www.timeandtidehotel.com.au/,Raw lead sheet: Sydney 100.csv,7.65,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Time and Tide Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Wallacia Hotel,to do,2,Researching,Wallacia Hotel,AU,Wallacia,Preferred hotel,,http://www.wallaciahotel.com.au/,Raw lead sheet: Sydney 100.csv,7.65,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Wallacia Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Gateway Motel,to do,2,Researching,Gateway Motel,AU,Vineyard,Preferred hotel,,http://www.gatewaymotel.com.au/,Raw lead sheet: Sydney 100.csv,7.6,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Gateway Motel: krátky postreh,Sydney 100.csv
Lead outreach - Killara Hotel & Suites,to do,2,Researching,Killara Hotel & Suites,AU,Killara,Preferred hotel,,https://www.killarasuites.com.au/,Raw lead sheet: Sydney 100.csv,7.6,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Killara Hotel & Suites: krátky postreh,Sydney 100.csv
Lead outreach - Nesuto Pennant Hills Apartment Hotel,to do,2,Researching,Nesuto Pennant Hills Apartment Hotel,AU,Pennant Hills,Preferred hotel,,https://www.nesuto.com/pennanthills,Raw lead sheet: Sydney 100.csv,7.58,Medium-High,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Nesuto Pennant Hills Apartment Hotel: krátky postreh,Sydney 100.csv
Lead outreach - The Select Inn Penrith | Hotel in Penrith,to do,3,Researching,The Select Inn Penrith | Hotel in Penrith,AU,Penrith,Preferred hotel,,http://www.theselectinnpenrith.com.au/,Raw lead sheet: Sydney 100.csv,7.49,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Select Inn Penrith | Hotel in Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Littomore Suites Kingswood,to do,3,Researching,Littomore Suites Kingswood,AU,Kingswood,Preferred hotel,,https://www.littomoresuites.com.au/littomore-suites-kingswood/,Raw lead sheet: Sydney 100.csv,7.45,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Littomore Suites Kingswood: krátky postreh,Sydney 100.csv
Lead outreach - Astina Suites,to do,3,Researching,Astina Suites,AU,Penrith,Preferred hotel,,https://astinasuites.com.au/penrith,Raw lead sheet: Sydney 100.csv,7.44,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Astina Suites: krátky postreh,Sydney 100.csv
Lead outreach - Checkers Resort & Conference Centre,to do,3,Researching,Checkers Resort & Conference Centre,AU,Terrey Hills,Preferred hotel,,https://checkers.com.au/,Raw lead sheet: Sydney 100.csv,7.44,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Checkers Resort & Conference Centre: krátky postreh,Sydney 100.csv
Lead outreach - Quality Inn Penrith,to do,3,Researching,Quality Inn Penrith,AU,Jamisontown,Preferred hotel,,https://www.choicehotels.com/new-south-wales/sydney/quality-inn-hotels/au595?mc=llgoxxap,Raw lead sheet: Sydney 100.csv,7.44,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Quality Inn Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Punthill Apartment Hotels | Norwest,to do,3,Researching,Punthill Apartment Hotels | Norwest,AU,Norwest,Preferred hotel,,https://punthill.com.au/hotels/punthill-norwest/,Raw lead sheet: Sydney 100.csv,7.42,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Punthill Apartment Hotels | Norwest: krátky postreh,Sydney 100.csv
Lead outreach - Parkway Hotel,to do,3,Researching,Parkway Hotel,AU,Frenchs Forest,Preferred hotel,,https://www.foresthotel.com.au/,Raw lead sheet: Sydney 100.csv,7.42,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Parkway Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Relaxin,to do,3,Researching,Relaxin,AU,Middle Dural,Preferred hotel,,http://relaxin.com.au/,Raw lead sheet: Sydney 100.csv,7.4,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Relaxin: krátky postreh,Sydney 100.csv
Lead outreach - The Lodge Blacktown,to do,3,Researching,The Lodge Blacktown,AU,Rooty Hill,Preferred hotel,,https://www.thelodgeblacktown.com.au/,Raw lead sheet: Sydney 100.csv,7.4,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Lodge Blacktown: krátky postreh,Sydney 100.csv
Lead outreach - Quality Apartments Castle Hill,to do,3,Researching,Quality Apartments Castle Hill,AU,Castle Hill,Preferred hotel,,http://www.mantracastlehill.com.au/,Raw lead sheet: Sydney 100.csv,7.4,Medium,Keep,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Quality Apartments Castle Hill: krátky postreh,Sydney 100.csv
Lead outreach - Plumpton Hotel,to do,3,Researching,Plumpton Hotel,AU,Glendenning,Preferred hotel,,https://www.plumptonhotel.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Plumpton%20Hotel%20-%20Glendenning&utm_term=plcid_10023691465548692622,Raw lead sheet: Sydney 100.csv,6.78,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Plumpton Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Colonial Hotel,to do,3,Researching,Colonial Hotel,AU,Werrington,Other lodging,,http://www.colonialhotel.com.au/,Raw lead sheet: Sydney 100.csv,6.74,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Colonial Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Dee Why Hotel,to do,3,Researching,Dee Why Hotel,AU,Dee Why,Other lodging,,http://www.deewhyhotel.com.au/,Raw lead sheet: Sydney 100.csv,6.73,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Dee Why Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Bella Vista Hotel,to do,3,Researching,Bella Vista Hotel,AU,Bella Vista,Other lodging,,https://www.bellavistahotel.com.au/,Raw lead sheet: Sydney 100.csv,6.73,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Bella Vista Hotel: krátky postreh,Sydney 100.csv
Lead outreach - The Greengate Hotel,to do,3,Researching,The Greengate Hotel,AU,Killara,Other lodging,,https://www.greengatehotel.com.au/,Raw lead sheet: Sydney 100.csv,6.73,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Greengate Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Ingenia Holidays Nepean River,to do,3,Researching,Ingenia Holidays Nepean River,AU,Emu Plains,Other lodging,,https://www.ingeniaholidays.com.au/our-parks/new-south-wales/western-sydney/nepean-river/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness&utm_term=park-listing,Raw lead sheet: Sydney 100.csv,6.72,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Ingenia Holidays Nepean River: krátky postreh,Sydney 100.csv
Lead outreach - Mullane's Hotel,to do,3,Researching,Mullane's Hotel,AU,Baulkham Hills,Other lodging,,https://mullanes.com.au/,Raw lead sheet: Sydney 100.csv,6.68,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Mullane's Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Blue Cattle Dog Hotel,to do,3,Researching,Blue Cattle Dog Hotel,AU,St Clair,Other lodging,,https://www.bluecattledoghotel.com.au/,Raw lead sheet: Sydney 100.csv,6.57,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Blue Cattle Dog Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Hotel Pennant Hills,to do,3,Researching,Hotel Pennant Hills,AU,Pennant Hills,Other lodging,,http://www.hotelpennanthills.com.au/,Raw lead sheet: Sydney 100.csv,6.57,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Hotel Pennant Hills: krátky postreh,Sydney 100.csv
Lead outreach - The Richmond Inn,to do,3,Researching,The Richmond Inn,AU,Richmond,Other lodging,,https://richmondinn.com.au/,Raw lead sheet: Sydney 100.csv,6.56,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Richmond Inn: krátky postreh,Sydney 100.csv
Lead outreach - Pymble Hotel,to do,3,Researching,Pymble Hotel,AU,Pymble,Other lodging,,https://www.pymblehotel.com.au/,Raw lead sheet: Sydney 100.csv,6.54,Medium,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Pymble Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Crowne Plaza Hawkesbury Valley by IHG,to do,4,Researching,Crowne Plaza Hawkesbury Valley by IHG,AU,Windsor,Preferred hotel,,https://www.ihg.com/crowneplaza/hotels/us/en/windsor/sydwd/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-AU-_-SYDWD,Raw lead sheet: Sydney 100.csv,6.47,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Crowne Plaza Hawkesbury Valley by IHG: krátky postreh,Sydney 100.csv
Lead outreach - Peppers The Hills Lodge,to do,4,Researching,Peppers The Hills Lodge,AU,Castle Hill,Preferred hotel,,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6321&merchantid=seo-maps-AU-6321&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Raw lead sheet: Sydney 100.csv,6.47,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Peppers The Hills Lodge: krátky postreh,Sydney 100.csv
Lead outreach - Wisemans Inn Hotel,to do,4,Researching,Wisemans Inn Hotel,AU,Wisemans Ferry,Preferred hotel,,http://www.wisemansinnhotel.com.au/,Raw lead sheet: Sydney 100.csv,6.46,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Wisemans Inn Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Holiday Inn Sydney St Marys by IHG,to do,4,Researching,Holiday Inn Sydney St Marys by IHG,AU,St Marys,Preferred hotel,,https://www.ihg.com/holidayinn/hotels/us/en/sydney/sydsm/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-AU-_-SYDSM,Raw lead sheet: Sydney 100.csv,6.45,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Holiday Inn Sydney St Marys by IHG: krátky postreh,Sydney 100.csv
Lead outreach - Barrenjoey House Palm Beach,to do,4,Researching,Barrenjoey House Palm Beach,AU,Palm Beach,Other lodging,,http://www.barrenjoeyhousepalmbeach.com.au/,Raw lead sheet: Sydney 100.csv,6.41,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Barrenjoey House Palm Beach: krátky postreh,Sydney 100.csv
