hotel_name,city,priority_band,priority_score,review_bucket,operator_triage_priority,operator_triage_action,hotel_opening_hours_status,checkin_checkout_status,checkin_checkout_source_origin,checkin_checkout_completeness,public_source_reachable,public_source_fetch_status,manual_review_reason,source_file
Dobrá Lipa,Vajnory,Medium-High,8.13,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Saffron,Bratislava,Medium-High,8.13,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Ubytovňa Siesta,Bratislava,Medium-High,8.12,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Elisabeth Old Town hotel,Bratislava,Medium-High,8.12,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Blue Bratislava,Bratislava,Medium-High,8.12,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel West,Nové Mesto,Medium-High,8.12,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Aviator Garni Hotel Bratislava,Ružinov,Medium-High,8.11,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Nivy,Bratislava,Medium-High,8.1,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Set,Nové Mesto,Medium-High,8.09,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Brix,Bratislava,Medium-High,8.09,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Družba,Karlova Ves,Medium-High,8.06,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Mama's Design & Boutique Hotel,Bratislava,Medium-High,8.06,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
The Spa Barok - Luxury Thai massage & Spa,Bratislava-Petržalka,Medium-High,8.05,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
BlueBell Hotel,Bratislava,Medium-High,8.01,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Art Hotel William,Bratislava,Medium-High,8.0,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel EXPO,Petržalka,Medium-High,7.98,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
BIVIO,Bratislava,Medium-High,7.97,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Esprit,Petržalka,Medium-High,7.94,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Hotel Remy, s.r.o.",Nové Mesto,Medium-High,7.94,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
WELLNESS HEAVEN Bratislava,Bratislava,Medium-High,7.9,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Garni Hotel DOCK,Bratislava,Medium-High,7.9,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
BEIGLI Hotel & Garden,Bratislava,Medium-High,7.88,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Apartmány Lafranconi,Staré Mesto,Medium-High,7.87,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Charming & Cozy by Ambiente,Bratislava,Medium-High,7.86,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Plaváreň Nivy,Bratislava,Medium-High,7.84,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Form Factory Nivy,Ružinov,Medium-High,7.82,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzión Hviezda,Bratislava,Medium-High,7.82,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Sauna Luma,Karlova Ves,Medium-High,7.82,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
BERG penzion,Petržalka,Medium-High,7.82,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
More Than Accommodation,Petržalka,Medium-High,7.82,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Viktor,Petržalka,Medium-High,7.76,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
"ZEN SPA - float, privátna sauna, masáž",Bratislava,Medium-High,7.7,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hostel Alex,Bratislava,Medium-High,7.52,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Uninova Hostel,Bratislava,Medium-High,7.51,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Antares,Bratislava,Medium-High,8.14,reachable_missing_opening_hours,P2,manual_review_if_capacity,Verejne nepotvrdené,Overené vo verejnom zdroji,text,paired,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours,raw_bratislava region_2026-04-01_21-01-58-857.csv
Best Place Apartments,Bratislava,Medium-High,8.13,reachable_missing_opening_hours,P2,manual_review_if_capacity,Verejne nepotvrdené,Overené vo verejnom zdroji,text,paired,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Radisson Blu Carlton Hotel, Bratislava",Bratislava,High,9.36,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
AC Hotel Bratislava Old Town,Bratislava,High,9.35,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Park Inn by Radisson Danube Bratislava,Bratislava,High,9.33,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Cabin Devín,Cabin-Devín,High,8.92,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
William's apartments s.r.o,Bratislava,High,8.91,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Grand Hotel River Park, a Luxury Collection Hotel",Bratislava,High,8.76,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Sheraton Bratislava,Bratislava,High,8.76,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
DoubleTree by Hilton Bratislava,Bratislava,High,8.75,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Aston Business hotel,Bratislava,High,8.64,dns_fetch_blocked,P1,hold_batch_due_to_dns_incident,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lindner Hotel Bratislava - JDV by Hyatt,Bratislava,Medium-High,8.15,dns_fetch_blocked,P2,hold_for_retry,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel NH Bratislava Gate One,Bratislava,Medium-High,8.15,dns_fetch_blocked,P2,hold_for_retry,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Plus Bratislava,Ružinov,Medium-High,8.04,dns_fetch_blocked,P2,hold_for_retry,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Tempus Club Garni Hotel,Bratislava,Medium-High,8.03,dns_fetch_blocked,P2,hold_for_retry,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Avion,Ružinov,Medium-High,8.0,dns_fetch_blocked,P2,hold_for_retry,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
Wilson Palace Bratislava,Bratislava,Medium-High,7.88,dns_fetch_blocked,P2,hold_for_retry,Verejne nepotvrdené,Verejne nepotvrdené,,none,no,dns_resolution_failed,unverified_opening_hours | unverified_checkin_checkout | source_fetch_blocked_dns,raw_bratislava region_2026-04-01_21-01-58-857.csv
